Sl. No,Change ID,Event Number,Timestamp,Impacted CIs,Description of change,Planned duration (Min),Change Category,Change Type,CI Category,CI Subcategory,CI Classification,Approval required,Is Approved,Is downtime required,Is restart required,Actual Duration,Change Status,Remarks
400,CH0001200,,2024-09-26 22:48:14,IAM Role,Access permissions,42,Normal,Medium,Systems,Server,IAM Role,Yes,4 out of 5,No,No,51,Rolled back,post implementation checks failed
401,CH0001201,,2024-03-29 02:22:00,Middleware Application 01,OS upgrade,94,Normal,Major,Systems,Server,Middleware Application 01,Yes,5 out of 5,Yes,Yes,92,Rolled back,post implementation checks failed
402,CH0001202,,2024-07-08 09:55:43,"Middleware Application 01, Web Application 01",Add New requirements / Features,107,Normal,Major,Systems,Server,Middleware Application 01,Yes,4 out of 5,Yes,Yes,103,implemented and closed,Change is succesfully implemented and closed
403,CH0001203,,2024-07-15 05:43:04,Database Server 01,Access permissions,66,Normal,Medium,Systems,Server,Database Server 01,Yes,3 out of 5,No,No,67,implemented and closed,Change is succesfully implemented and closed
404,CH0001204,,2024-09-20 15:16:55,Active Directory services,Add New requirements / Features,62,Normal,Major,Systems,Server,Active Directory services,Yes,3 out of 5,Yes,Yes,56,Rolled back,post implementation checks failed
405,CH0001205,,2024-05-09 22:47:19,Cloud HSM,Configuration changes,41,Normal,Medium,Systems,Server,Cloud HSM,Yes,3 out of 5,No,No,44,implemented and closed,Change is succesfully implemented and closed
406,CH0001206,,2024-04-25 11:49:22,Bastion Host,Access permissions,65,Normal,Medium,Systems,Server,Bastion Host,Yes,5 out of 5,No,No,56,implemented and closed,Change is succesfully implemented and closed
407,CH0001207,,2024-03-27 08:16:21,Active Directory services,Configuration changes,30,Normal,Medium,Systems,Server,Active Directory services,Yes,4 out of 5,No,No,23,implemented and closed,Change is succesfully implemented and closed
408,CH0001208,,2024-06-27 02:04:04,Web Application 02,Add New requirements / Features,110,Normal,Major,Systems,Server,Web Application 02,Yes,5 out of 5,Yes,Yes,117,implemented and closed,Change is succesfully implemented and closed
409,CH0001209,,2024-03-19 22:38:46,Bastion Host,Configuration changes,74,Normal,Medium,Systems,Server,Bastion Host,Yes,3 out of 5,No,No,68,implemented and closed,Change is succesfully implemented and closed
410,CH0001210,,2025-01-18 17:39:05,Middleware Application 01,Access permissions,70,Normal,Medium,Systems,Server,Middleware Application 01,Yes,5 out of 5,No,No,73,implemented and closed,Change is succesfully implemented and closed
411,CH0001211,,2024-07-03 13:26:14,"Database Server 01, IDEAWORKS application, Middleware Application 01, Web Application 01",Add New requirements / Features,101,Normal,Major,Systems,Server,IDEAWORKS application,Yes,4 out of 5,Yes,Yes,95,implemented and closed,Change is succesfully implemented and closed
412,CH0001212,,2024-09-17 11:17:44,Middleware Application 02,Access permissions,60,Normal,Medium,Systems,Server,Middleware Application 02,Yes,4 out of 5,No,No,61,implemented and closed,Change is succesfully implemented and closed
413,CH0001213,,2024-02-28 21:51:28,Bastion Host,OS upgrade,102,Normal,Major,Systems,Server,Bastion Host,Yes,2 out of 5,Yes,Yes,109,failed / Cancelled,"on time preps are incomplete, no approvals"
414,CH0001214,,2024-10-26 08:39:07,Web Application 01,Access permissions,68,Normal,Medium,Systems,Server,Web Application 01,Yes,2 out of 5,No,No,72,failed / Cancelled,"on time preps are incomplete, no approvals"
415,CH0001215,,2024-09-28 06:31:59,Route 53,Access permissions,63,Normal,Medium,Systems,Server,Route 53,Yes,4 out of 5,No,No,59,implemented and closed,Change is succesfully implemented and closed
416,CH0001216,,2024-04-18 13:50:18,IAM Role,Access permissions,33,Normal,Medium,Systems,Server,IAM Role,Yes,5 out of 5,No,No,26,implemented and closed,Change is succesfully implemented and closed
417,CH0001217,,2024-05-23 11:30:41,Middleware Application 01,App upgradation,111,Normal,Major,Systems,Server,Middleware Application 01,Yes,3 out of 5,Yes,Yes,120,implemented and closed,Change is succesfully implemented and closed
418,CH0001218,,2024-06-26 07:15:07,Internet Gateway,Version upgrade,31,Normal,Major,Systems,Server,Internet Gateway,Yes,4 out of 5,Yes,Yes,30,implemented and closed,Change is succesfully implemented and closed
419,CH0001219,,2024-08-30 16:42:32,IAM Role,Configuration changes,33,Normal,Medium,Systems,Server,IAM Role,Yes,4 out of 5,No,No,28,implemented and closed,Change is succesfully implemented and closed
420,CH0001220,,2024-04-17 06:45:33,Web Application Firewall,Version upgrade,31,Normal,Major,Systems,Server,Web Application Firewall,Yes,4 out of 5,Yes,Yes,31,implemented and closed,Change is succesfully implemented and closed
421,CH0001221,,2025-01-19 21:15:18,VPN Nat Gateway,Version upgrade,36,Normal,Major,Systems,Server,VPN Nat Gateway,Yes,5 out of 5,Yes,Yes,35,implemented and closed,Change is succesfully implemented and closed
422,CH0001222,,2024-02-12 13:53:02,Role,Configuration changes,39,Normal,Medium,Systems,Server,Role,Yes,2 out of 5,No,No,35,failed / Cancelled,"on time preps are incomplete, no approvals"
423,CH0001223,,2024-02-28 20:10:22,"Application Load Balancer, Bastion Host, Direct Connect, Web Application Firewall",Configuration changes,95,Normal,Medium,Systems,Server,Application Load Balancer,Yes,4 out of 5,No,No,94,implemented and closed,Change is succesfully implemented and closed
424,CH0001224,,2024-12-27 01:07:01,S3 Bucket,Version upgrade,30,Normal,Major,Systems,Server,S3 Bucket,Yes,4 out of 5,Yes,Yes,35,implemented and closed,Change is succesfully implemented and closed
425,CH0001225,,2024-05-17 15:09:04,Internet Gateway,Access permissions,66,Normal,Medium,Systems,Server,Internet Gateway,Yes,3 out of 5,No,No,63,implemented and closed,Change is succesfully implemented and closed
426,CH0001226,,2024-08-17 17:34:17,Route 53,Configuration changes,31,Normal,Medium,Systems,Server,Route 53,Yes,3 out of 5,No,No,33,implemented and closed,Change is succesfully implemented and closed
427,CH0001227,,2024-07-15 23:11:55,IAM Role,Access permissions,37,Normal,Medium,Systems,Server,IAM Role,Yes,3 out of 5,No,No,44,implemented and closed,Change is succesfully implemented and closed
428,CH0001228,,2024-09-01 23:22:50,Web Application Firewall,Add New requirements / Features,62,Normal,Major,Systems,Server,Web Application Firewall,Yes,3 out of 5,Yes,Yes,66,implemented and closed,Change is succesfully implemented and closed
429,CH0001229,,2024-12-04 19:55:44,Endpoints,Configuration changes,43,Normal,Medium,Systems,Server,Endpoints,Yes,4 out of 5,No,No,42,implemented and closed,Change is succesfully implemented and closed
430,CH0001230,,2024-07-04 21:06:07,Web Application 01,App upgradation,104,Normal,Major,Systems,Server,Web Application 01,Yes,3 out of 5,Yes,Yes,108,implemented and closed,Change is succesfully implemented and closed
431,CH0001231,,2024-02-17 23:29:32,Database Server 01,App upgradation,96,Normal,Major,Systems,Server,Database Server 01,Yes,4 out of 5,Yes,Yes,105,Rolled back,post implementation checks failed
432,CH0001232,,2024-04-15 17:28:09,IAM Role,Add New requirements / Features,67,Normal,Major,Systems,Server,IAM Role,Yes,4 out of 5,Yes,Yes,67,implemented and closed,Change is succesfully implemented and closed
433,CH0001233,,2024-05-11 07:12:54,"Middleware Application 01, Middleware Application 02, Web Application 01",Configuration changes,87,Normal,Medium,Systems,Server,Middleware Application 02,Yes,5 out of 5,No,No,92,implemented and closed,Change is succesfully implemented and closed
434,CH0001234,,2024-12-08 03:00:09,Cloudwatch,Add New requirements / Features,67,Normal,Major,Systems,Server,Cloudwatch,Yes,5 out of 5,Yes,Yes,65,implemented and closed,Change is succesfully implemented and closed
435,CH0001235,,2024-02-26 12:30:49,Web Application Firewall,Access permissions,63,Normal,Medium,Systems,Server,Web Application Firewall,Yes,5 out of 5,No,No,56,implemented and closed,Change is succesfully implemented and closed
436,CH0001236,,2024-02-10 08:18:21,Web Application 02,App upgradation,119,Normal,Major,Systems,Server,Web Application 02,Yes,4 out of 5,Yes,Yes,119,implemented and closed,Change is succesfully implemented and closed
437,CH0001237,,2024-04-14 04:53:45,"Direct Connect, VPN Nat Gateway, Web Application Firewall",Access permissions,42,Normal,Medium,Systems,Server,VPN Nat Gateway,Yes,5 out of 5,No,No,38,implemented and closed,Change is succesfully implemented and closed
438,CH0001238,,2024-02-01 15:56:02,Route 53,Add New requirements / Features,72,Normal,Major,Systems,Server,Route 53,Yes,5 out of 5,Yes,Yes,62,implemented and closed,Change is succesfully implemented and closed
439,CH0001239,,2024-08-20 23:03:22,"Database Server 01, Database Server 02, Web Application 01",Access permissions,72,Normal,Medium,Systems,Server,Database Server 02,Yes,5 out of 5,No,No,80,implemented and closed,Change is succesfully implemented and closed
440,CH0001240,,2024-12-25 14:43:17,VPN Nat Gateway,Version upgrade,30,Normal,Major,Systems,Server,VPN Nat Gateway,Yes,3 out of 5,Yes,Yes,33,implemented and closed,Change is succesfully implemented and closed
441,CH0001241,,2024-10-06 09:50:30,"Bastion Host, Web Application Firewall",Access permissions,74,Normal,Medium,Systems,Server,Bastion Host,Yes,4 out of 5,No,No,80,implemented and closed,Change is succesfully implemented and closed
442,CH0001242,,2024-11-01 21:28:48,IDEAWORKS application,Add New requirements / Features,113,Normal,Major,Systems,Server,IDEAWORKS application,Yes,5 out of 5,Yes,Yes,120,Rolled back,post implementation checks failed
443,CH0001243,,2024-11-17 04:17:24,Web Application Firewall,Version upgrade,31,Normal,Major,Systems,Server,Web Application Firewall,Yes,4 out of 5,Yes,Yes,32,Rolled back,post implementation checks failed
444,CH0001244,,2024-11-20 23:18:57,"Database Server 01, Middleware Application 01, Middleware Application 02, VPN Nat Gateway, Web Application 02",Access permissions,102,Normal,Medium,Systems,Server,Database Server 01,Yes,3 out of 5,No,No,110,implemented and closed,Change is succesfully implemented and closed
445,CH0001245,,2024-02-29 19:17:45,IAM Role,Access permissions,30,Normal,Medium,Systems,Server,IAM Role,Yes,5 out of 5,No,No,31,implemented and closed,Change is succesfully implemented and closed
446,CH0001246,,2024-12-13 18:55:03,Internet Gateway,Version upgrade,39,Normal,Major,Systems,Server,Internet Gateway,Yes,4 out of 5,Yes,Yes,34,implemented and closed,Change is succesfully implemented and closed
447,CH0001247,,2024-11-01 07:44:12,IDEAWORKS application,App upgradation,118,Normal,Major,Systems,Server,IDEAWORKS application,Yes,1 out of 5,Yes,Yes,119,failed / Cancelled,"on time preps are incomplete, no approvals"
448,CH0001248,,2024-10-28 01:30:28,Internet Gateway,Configuration changes,60,Normal,Medium,Systems,Server,Internet Gateway,Yes,5 out of 5,No,No,66,implemented and closed,Change is succesfully implemented and closed
449,CH0001249,,2024-02-08 04:00:07,Direct Connect,Add New requirements / Features,66,Normal,Major,Systems,Server,Direct Connect,Yes,3 out of 5,Yes,Yes,59,implemented and closed,Change is succesfully implemented and closed
450,CH0001250,,2025-01-06 15:01:11,IDEAWORKS application,Add New requirements / Features,117,Normal,Major,Systems,Server,IDEAWORKS application,Yes,3 out of 5,Yes,Yes,123,implemented and closed,Change is succesfully implemented and closed
451,CH0001251,,2024-06-07 07:00:44,"Bastion Host, Route 53",Configuration changes,37,Normal,Medium,Systems,Server,Route 53,Yes,5 out of 5,No,No,42,implemented and closed,Change is succesfully implemented and closed
452,CH0001252,,2024-08-24 04:11:34,Database Server 01,Add New requirements / Features,117,Normal,Major,Systems,Server,Database Server 01,Yes,3 out of 5,Yes,Yes,125,implemented and closed,Change is succesfully implemented and closed
453,CH0001253,,2024-12-27 18:16:38,"Middleware Application 01, Middleware Application 02, Web Application 01, Web Application 02",Access permissions,83,Normal,Medium,Systems,Server,Middleware Application 02,Yes,5 out of 5,No,No,86,implemented and closed,Change is succesfully implemented and closed
454,CH0001254,,2024-10-06 23:30:36,"Database Server 01, Database Server 02, Middleware Application 01, Middleware Application 02, Web Application 01, Web Application 02",Configuration changes,113,Normal,Medium,Systems,Server,Database Server 02,Yes,4 out of 5,No,No,109,implemented and closed,Change is succesfully implemented and closed
455,CH0001255,,2024-04-14 07:52:10,Middleware Application 02,App upgradation,91,Normal,Major,Systems,Server,Middleware Application 02,Yes,4 out of 5,Yes,Yes,93,implemented and closed,Change is succesfully implemented and closed
456,CH0001256,,2024-11-29 14:31:37,Middleware Application 02,App upgradation,93,Normal,Major,Systems,Server,Middleware Application 02,Yes,4 out of 5,Yes,Yes,92,implemented and closed,Change is succesfully implemented and closed
457,CH0001257,,2024-12-31 14:49:41,VPN Nat Gateway,Configuration changes,35,Normal,Medium,Systems,Server,VPN Nat Gateway,Yes,5 out of 5,No,No,31,implemented and closed,Change is succesfully implemented and closed
458,CH0001258,,2024-09-19 13:35:23,Middleware Application 02,OS upgrade,104,Normal,Major,Systems,Server,Middleware Application 02,Yes,3 out of 5,Yes,Yes,111,implemented and closed,Change is succesfully implemented and closed
459,CH0001259,,2024-10-01 07:47:32,S3 Bucket,Version upgrade,40,Normal,Major,Systems,Server,S3 Bucket,Yes,4 out of 5,Yes,Yes,33,implemented and closed,Change is succesfully implemented and closed
460,CH0001260,,2024-08-17 10:20:27,Internet Gateway,Configuration changes,77,Normal,Medium,Systems,Server,Internet Gateway,Yes,5 out of 5,No,No,68,implemented and closed,Change is succesfully implemented and closed
461,CH0001261,,2024-05-27 12:18:07,IDEAWORKS application,App upgradation,109,Normal,Major,Systems,Server,IDEAWORKS application,Yes,3 out of 5,Yes,Yes,115,Rolled back,post implementation checks failed
462,CH0001262,,2025-01-10 14:54:32,"VPN Gateway, Web Application Firewall",Add New requirements / Features,75,Normal,Major,Systems,Server,VPN Gateway,Yes,5 out of 5,Yes,Yes,80,implemented and closed,Change is succesfully implemented and closed
463,CH0001263,,2024-02-10 08:53:52,Web Application Firewall,Add New requirements / Features,70,Normal,Major,Systems,Server,Web Application Firewall,Yes,5 out of 5,Yes,Yes,75,implemented and closed,Change is succesfully implemented and closed
464,CH0001264,,2024-10-08 09:50:09,Middleware Application 02,OS upgrade,104,Normal,Major,Systems,Server,Middleware Application 02,Yes,4 out of 5,Yes,Yes,110,implemented and closed,Change is succesfully implemented and closed
465,CH0001265,,2024-03-29 13:24:55,Database Server 01,App upgradation,91,Normal,Major,Systems,Server,Database Server 01,Yes,4 out of 5,Yes,Yes,85,implemented and closed,Change is succesfully implemented and closed
466,CH0001266,,2024-11-01 13:52:04,"Middleware Application 01, Middleware Application 02, Web Application 01, Web Application 02",Configuration changes,87,Normal,Medium,Systems,Server,Middleware Application 02,Yes,3 out of 5,No,No,78,implemented and closed,Change is succesfully implemented and closed
467,CH0001267,,2024-07-22 16:30:40,Direct Connect,Access permissions,64,Normal,Medium,Systems,Server,Direct Connect,Yes,0 out of 5,No,No,64,failed / Cancelled,"on time preps are incomplete, no approvals"
468,CH0001268,,2024-04-03 14:48:03,Role,Version upgrade,39,Normal,Major,Systems,Server,Role,Yes,5 out of 5,Yes,Yes,45,implemented and closed,Change is succesfully implemented and closed
469,CH0001269,,2025-01-21 19:43:53,Cloudwatch,Configuration changes,34,Normal,Medium,Systems,Server,Cloudwatch,Yes,5 out of 5,No,No,33,implemented and closed,Change is succesfully implemented and closed
470,CH0001270,,2025-01-30 23:39:03,Web Application 02,App upgradation,96,Normal,Major,Systems,Server,Web Application 02,Yes,5 out of 5,Yes,Yes,86,implemented and closed,Change is succesfully implemented and closed
471,CH0001271,,2024-07-11 01:06:24,S3 Bucket,Configuration changes,30,Normal,Medium,Systems,Server,S3 Bucket,Yes,5 out of 5,No,No,33,implemented and closed,Change is succesfully implemented and closed
472,CH0001272,,2024-02-28 06:41:32,Database Server 01,OS upgrade,119,Normal,Major,Systems,Server,Database Server 01,Yes,4 out of 5,Yes,Yes,129,implemented and closed,Change is succesfully implemented and closed
473,CH0001273,,2024-07-15 04:44:59,Application Load Balancer,Access permissions,62,Normal,Medium,Systems,Server,Application Load Balancer,Yes,4 out of 5,No,No,57,implemented and closed,Change is succesfully implemented and closed
474,CH0001274,,2024-10-30 06:10:19,Role,Add New requirements / Features,72,Normal,Major,Systems,Server,Role,Yes,3 out of 5,Yes,Yes,74,implemented and closed,Change is succesfully implemented and closed
475,CH0001275,,2024-03-18 11:04:14,VPN Nat Gateway,Configuration changes,32,Normal,Medium,Systems,Server,VPN Nat Gateway,Yes,5 out of 5,No,No,38,implemented and closed,Change is succesfully implemented and closed
476,CH0001276,,2024-11-29 20:36:31,VPN Nat Gateway,Version upgrade,37,Normal,Major,Systems,Server,VPN Nat Gateway,Yes,3 out of 5,Yes,Yes,45,implemented and closed,Change is succesfully implemented and closed
477,CH0001277,,2024-06-11 19:49:19,Web Application 02,Add New requirements / Features,94,Normal,Major,Systems,Server,Web Application 02,Yes,4 out of 5,Yes,Yes,84,implemented and closed,Change is succesfully implemented and closed
478,CH0001278,,2024-06-22 13:59:41,"Direct Connect, Web Application Firewall",Add New requirements / Features,72,Normal,Major,Systems,Server,Web Application Firewall,Yes,0 out of 5,Yes,Yes,72,failed / Cancelled,"on time preps are incomplete, no approvals"
479,CH0001279,,2024-02-05 18:46:42,Internet Gateway,Add New requirements / Features,60,Normal,Major,Systems,Server,Internet Gateway,Yes,4 out of 5,Yes,Yes,67,implemented and closed,Change is succesfully implemented and closed
480,CH0001280,,2024-02-01 10:26:41,"Database Server 01, Database Server 02, Middleware Application 01, Middleware Application 02, Web Application 02",Configuration changes,112,Normal,Medium,Systems,Server,Database Server 02,Yes,5 out of 5,No,No,121,implemented and closed,Change is succesfully implemented and closed
481,CH0001281,,2025-01-08 05:15:49,Cloud HSM,Version upgrade,42,Normal,Major,Systems,Server,Cloud HSM,Yes,5 out of 5,Yes,Yes,33,implemented and closed,Change is succesfully implemented and closed
482,CH0001282,,2024-09-05 19:20:57,"Bastion Host, Route 53",Configuration changes,41,Normal,Medium,Systems,Server,Route 53,Yes,5 out of 5,No,No,36,Rolled back,post implementation checks failed
483,CH0001283,,2024-08-31 19:55:19,Role,Version upgrade,32,Normal,Major,Systems,Server,Role,Yes,3 out of 5,Yes,Yes,39,implemented and closed,Change is succesfully implemented and closed
484,CH0001284,,2024-12-30 01:36:34,IDEAWORKS application,App upgradation,104,Normal,Major,Systems,Server,IDEAWORKS application,Yes,5 out of 5,Yes,Yes,111,implemented and closed,Change is succesfully implemented and closed
485,CH0001285,,2024-11-11 15:27:30,Cloud HSM,Version upgrade,35,Normal,Major,Systems,Server,Cloud HSM,Yes,5 out of 5,Yes,Yes,28,Rolled back,post implementation checks failed
486,CH0001286,,2024-07-13 03:24:36,VPN Gateway,Add New requirements / Features,60,Normal,Major,Systems,Server,VPN Gateway,Yes,5 out of 5,Yes,Yes,52,Rolled back,post implementation checks failed
487,CH0001287,,2024-05-07 15:32:54,"Database Server 01, Database Server 02, IDEAWORKS application, Middleware Application 01, Middleware Application 02, VPN Nat Gateway, Web Application 01, Web Application 02",Configuration changes,129,Normal,Medium,Systems,Server,IDEAWORKS application,Yes,5 out of 5,No,No,135,implemented and closed,Change is succesfully implemented and closed
488,CH0001288,,2025-01-04 19:11:52,Cloudwatch,Version upgrade,35,Normal,Major,Systems,Server,Cloudwatch,Yes,2 out of 5,Yes,Yes,34,failed / Cancelled,"on time preps are incomplete, no approvals"
489,CH0001289,,2024-12-07 23:35:57,Active Directory services,Version upgrade,40,Normal,Major,Systems,Server,Active Directory services,Yes,4 out of 5,Yes,Yes,49,implemented and closed,Change is succesfully implemented and closed
490,CH0001290,,2024-12-13 16:41:37,VPN Nat Gateway,Access permissions,30,Normal,Medium,Systems,Server,VPN Nat Gateway,Yes,4 out of 5,No,No,33,Rolled back,post implementation checks failed
491,CH0001291,,2024-07-10 07:47:41,S3 Bucket,Configuration changes,41,Normal,Medium,Systems,Server,S3 Bucket,Yes,3 out of 5,No,No,40,implemented and closed,Change is succesfully implemented and closed
492,CH0001292,,2024-07-04 07:00:28,IDEAWORKS application,Configuration changes,60,Normal,Medium,Systems,Server,IDEAWORKS application,Yes,5 out of 5,No,No,53,implemented and closed,Change is succesfully implemented and closed
493,CH0001293,,2024-08-27 08:48:14,VPN Gateway,Access permissions,67,Normal,Medium,Systems,Server,VPN Gateway,Yes,3 out of 5,No,No,60,implemented and closed,Change is succesfully implemented and closed
494,CH0001294,,2024-03-11 23:16:23,Database Server 01,App upgradation,116,Normal,Major,Systems,Server,Database Server 01,Yes,4 out of 5,Yes,Yes,117,implemented and closed,Change is succesfully implemented and closed
495,CH0001295,,2024-11-07 10:36:00,Active Directory services,Configuration changes,33,Normal,Medium,Systems,Server,Active Directory services,Yes,4 out of 5,No,No,38,implemented and closed,Change is succesfully implemented and closed
496,CH0001296,,2024-05-17 06:44:48,"Database Server 01, Database Server 02, IDEAWORKS application, VPN Nat Gateway, Web Application 02",Configuration changes,95,Normal,Medium,Systems,Server,IDEAWORKS application,Yes,4 out of 5,No,No,96,implemented and closed,Change is succesfully implemented and closed
497,CH0001297,,2024-06-08 14:43:25,S3 Bucket,Configuration changes,35,Normal,Medium,Systems,Server,S3 Bucket,Yes,4 out of 5,No,No,39,implemented and closed,Change is succesfully implemented and closed
498,CH0001298,,2024-12-12 11:58:26,Application Load Balancer,Version upgrade,33,Normal,Major,Systems,Server,Application Load Balancer,Yes,4 out of 5,Yes,Yes,43,implemented and closed,Change is succesfully implemented and closed
499,CH0001299,,2024-02-12 18:05:59,Role,Version upgrade,38,Normal,Major,Systems,Server,Role,Yes,5 out of 5,Yes,Yes,31,implemented and closed,Change is succesfully implemented and closed
500,CH0001300,,2024-07-05 12:49:36,Direct Connect,Add New requirements / Features,68,Normal,Major,Systems,Server,Direct Connect,Yes,4 out of 5,Yes,Yes,72,Rolled back,post implementation checks failed
